[210]		一	×一
[616]		芋	⿱{⺾,于}
[617]		芍	⿱{⺾,勺}
[618]		芒	⿱{⺾,亡}
[619]		芝	⿱{⺾,之}
[620]		虫	⿻⿸{⿱{中,一},ヽ}(⿻⿱{中,厶})
[621]		血	⿱{′,皿}
[622]		行	⿰{彳,亍}
[623]		衣	⿱{亠,𧘇}
[624]		西	⿻⿱{兀,囗}(⿱{⿻×{⿱{一,冂},儿},一})
[625]		辿	⿺{⻍,山}
[626]		迂	⿺{⻍,于}
[627]		迄	⿺{⻍,乞}
[628]		迅	⿺{⻌,卂}
[631]		串	⿻×{⿱{口,口},丨}(⿻⿱{中,口})
[632]		乱	⿰{舌,乚}
[633]		亜	⿻⿱{⿻×{⿱{一,冂},⿰{丨,丨}},二}
[634]		伯	⿰{亻,白}
[635]		伴	⿰{亻,半}
[636]		伶	⿰{亻,令}
[637]		伸	⿰{亻,申}
[638]		伺	⿰{亻,司}
[639]		似	⿰{亻,以}
[640]		伽	⿰{亻,加}
[641]		佃	⿰{亻,田}
[642]		但	⿰{亻,旦}
[643]		佇	⿰{亻,宁}
[644]		位	⿰{亻,立}
[645]		低	⿰{亻,氐}
[646]		住	⿰{亻,主}
[647]		佐	⿰{亻,左}
[648]		佑	⿰{亻,右}
[649]		体	⿰{亻,本}
[650]		何	⿰{亻,可}
[651]		余	⿻⿱{人,⿻×{二,小}}(⿻⿱{人,示})
[652]		作	⿰{亻,乍}
[653]		佝	⿰{亻,句}
[654]		佞	⿰{亻,⿱{二,女}}
[655]		克	⿱{十,兄}
[656]		兌	⿱{八,兄}
[657]		児	⿱{旧,儿}
[658]		兵	⿱{丘,ハ}
[659]		冴	⿰{冫,牙}
[660]		冶	⿰{冫,台}
[661]		冷	⿰{冫,令}
[662]		初	⿰{⻂,刀}
[663]		判	⿰{半,刂}
[664]		別	⿰{⿱{口,⿰{丿,㇆}},刂}
[665]		利	⿰{禾,刂}
[666]		助	⿰{且,力}
[667]		努	⿱{奴,力}
[668]		劫	⿰{去,力}
[669]		励	⿰{⿱{厂,万},力}
[670]		労	⿱{⿱{⺍,冖},力}
[671]		医	⿷{匚,矢}
[673]		即	⿰{⿻⿸{⿻⿱{∃,レ},ヽ},⺋}
[674]		却	⿰{去,卩}
[675]		卵	⿰{𠂑,卪}
[676]		君	⿱{尹,口}
[677]		吝	⿱{文,口}
[678]		吟	⿰{口,今}
[679]		吠	⿰{口,犬}
[680]		否	⿱{不,口}
[681]		含	⿱{今,口}
[682]		吶	⿰{口,内}(⿱{口,⿻×{冂,入}})
[683]		吹	⿰{口,欠}
[684]		吻	⿰{口,勿}
[685]		吼	⿰{口,孔}
[686]		吾	⿱{五,口}
[687]		呂	⿳{口,′,口}
[688]		呆	⿱{口,木}
[689]		呈	⿱{口,王}
[690]		呉	⿺{夨,口}
[691]		告	⿱{⿻↖{ノ,土},口}
[692]		呑	⿱{夭,口}
[693]		困	⿴{囗,木}
[694]		囲	⿴{囗,井}
